,Country,Date,Year,Type,Area,Location,Activity,Sex ,Age,Injury,Fatal_Y_N,Time,Species ,Month
1125,USA,5/17/2009,2009.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,31,Lacerations to left leg & foot,N,09h35,blacktip or spinner shark,05
1126,USA,5/16/2009,2009.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,49,Lacerations to right foot,N,10h27,blacktip or spinner shark,05
1127,USA,5/16/2009,2009.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,55,Lacerations to right hand,N,10h16,blacktip or spinner shark,05
1130,USA,4/28/2009,2009.0,Unprovoked,Florida,"St. Augustine, St. John's County",other,F,0,Multiple lacerations to right foot & ankle,N,16h45,,04
1131,USA,Reported 25-Apr-2009,2009.0,Unprovoked,California,"San Onofre State Beach, San Diego County",Surfing,M,0,No injury,N,10h00,,04
1132,USA,4/21/2009,2009.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,3 puncture wounds to posterior right ankle,N,Late afternoon,,04
1133,PHILIPPINES,4/20/2009,2009.0,Unprovoked,Batangas province,Mabini,Swimming,M,23,Legs bitten,N,500,,04
1134,USA,4/19/2009,2009.0,Unprovoked,Florida,"Carlin Park, Jupiter Inlet",Surfing,M,52,Left foot bitten,N,16h00,,04
1135,USA,4/17/2009,2009.0,Unprovoked,Florida,"Walton Rocks, St Lucie County",Surfing,M,31,Laceration to forearm,N,13h15,2' to 3' shark,04
1137,AUSTRALIA,4/12/2009,2009.0,Unprovoked,New South Wales,Fingal Bay,Surf skiing ,M,40,"No injury, catapulted into the water & ski damage",N,08h00,2' to 3' shark,04
1139,USA,4/6/2009,2009.0,Unprovoked,California,San Diego County,Spearfishing,M,0,Shark struck him but the diver was not injured,N,07h45,"White shark, 12' to 15' female",04
1140,USA,4/3/2009,2009.0,Unprovoked,Florida,"Sanibel Island, Lee County",Wading,M,15,Lacerations to right foot and ankle,N,16h00,,04
1142,SOUTH AFRICA,3/21/2009,2009.0,Unprovoked,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,16,FATAL,Y,Afternoon,,03
1143,AUSTRALIA,3/20/2009,2009.0,Unprovoked,New South Wales,Blue Bay,Surfing,M,17,"Laceration to right foot, puncture wounds to calf",N,18h45,Bronze whaler shark?,03
1144,AUSTRALIA,3/19/2009,2009.0,Unprovoked,New South Wales,South Broulee,Surfing,M,0,"No injury, shark damaged surfboard",N,Early morning,,03
1145,AUSTRALIA,3/19/2009,2009.0,Unprovoked,New South Wales,Bateman's Bay,Surfing,F,0,"No injury, shark bit nose of surfboard",N,07h45,,03
1146,USA,3/18/2009,2009.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,F,17,Minor bite to ankle,N,17h30,3' to 4' shark,03
1147,MALAYSIA,Reported 17-Mar-2009,2009.0,Unprovoked,Strait of Malacca,Pulau Payar Island,Feeding fish,F,0,Minor injury,N,,Blacktip reef shark pup,03
1148,USA,3/17/2009,2009.0,Unprovoked,Hawaii,Alenuihaha Channel,Swimming,M,61,"Minor injury, bite chest and left calf",N,20h00,Thought to involve a cookie cutter shark,03
1150,NEW CALEDONIA,3/6/2009,2009.0,Unprovoked,South Province,Bourail,Surfing,M,19,FATAL,Y,11h30,,03
1153,AUSTRALIA,3/1/2009,2009.0,Unprovoked,New South Wales,Avalon,Surfing,M,15,Lacerations to leg,N,06h45,2.6 m shark,03
1154,AUSTRALIA,2/22/2009,2009.0,Unprovoked,Queensland,Batt Reef,Fishing,M,0,Severe laceration to finger,N,10h15,,02
1155,AUSTRALIA,2/18/2009,2009.0,Unprovoked,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,0,"No injury to surfer, but the nose of his board was broken",N,17h00,,02
1156,AUSTRALIA,2/12/2009,2009.0,Unprovoked,New South Wales,"Bondi Beach, Sydney",Surfing,M,33,Severe injury to hand ,N,19h30,"White shark, 2.5m ",02
1157,AUSTRALIA,2/11/2009,2009.0,Unprovoked,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour","Diving, but on the surface when bitten by the shark",M,31,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,N,Before 07h00,"Bull shark, 2.7 m ",02
1159,AUSTRALIA,2/7/2009,2009.0,Unprovoked,New South Wales,Cellito Beach,Surfing,M,41,"No injury, surfboard dented",N,11h00,"White shark, 12' ",02
1160,AUSTRALIA,2/7/2009,2009.0,Unprovoked,New South Wales,Sandon,Surfing,M,0,"No injury, flung from surfboard by the shark",N,07h30,,02
1163,CUBA,1/25/2009,2009.0,Unprovoked,Guantanamo Province,Guantanamo Bay,Spearfishing,M,15,Severe lacerations to lower left leg,N,10h30,Bull shark,01
1165,AUSTRALIA,1/24/2009,2009.0,Unprovoked,New South Wales,"Surf Beach, Batemans Bay",Swimming,M,19,Hand injured,N,16h30,,01
1166,SOUTH AFRICA,1/24/2009,2009.0,Unprovoked,Eastern Cape Province,"Second Beach, Port St. John's",Swimming,M,25,FATAL,Y,14h00,Tiger shark,01
1169,NEW ZEALAND,1/16/2009,2009.0,Unprovoked,South Island,Karitane Beach,Surfing,M,0,"No injury, bumped off board by the shark",N,,,01
1170,SOUTH AFRICA,Reported 13-Jan-2009,2009.0,Unprovoked,Western Cape Province,"Shark Alley, off Gansbaai",other,UNKNOWN,0,FATAL,Y,,White sharks,01
1171,AUSTRALIA,1/12/2009,2009.0,Unprovoked,New South Wales,"Windang,       Lake Illawara",Snorkeling,M,24,Puncture wounds to right calf,N,10h45,"Dusky shark, 2m",01
1172,AUSTRALIA,1/11/2009,2009.0,Unprovoked,Tasmania,Binalong Bay,Surfing,F,13,Severe lacerations to right leg,N,15h45,"White shark, 5m",01
1173,AUSTRALIA,1/11/2009,2009.0,Unprovoked,New South Wales,Fingal Beach,Surfing,M,31,Left thigh severely bitten,N,09h00,"White shark, 3.5m",01
1175,ECUADOR,1/10/2009,2009.0,Unprovoked,Galapagos Islands,Isla Isabella,Surfing,M,22,Right lower leg bitten & defense wounds to hand,N,,,01
1176,NEW ZEALAND,1/6/2009,2009.0,Unprovoked,North Island,Haumoana ,Swimming,M,49,Posterior thigh bitten,N,17h30,Broadnose sevengill shark,01
1177,CUBA,1/9/2022,2009.0,Unprovoked,Guantanamo Province,Guantanamo,Spearfishing,UNKNOWN,0,Lacerations to right calf,N,,Bull shark,01
1180,AUSTRALIA,12/27/2008,2008.0,Unprovoked,New South Wales,Seal Rocks,Boogie Boarding,M,10,"No injury, shark tore his swim fin",N,,,12
1182,AUSTRALIA,12/27/2008,2008.0,Unprovoked,Western Australia,Port Kennedy Beach,Snorkeling,M,51,FATAL,Y,07h00,4 to 5m white shark,12
1184,NEW ZEALAND,12/14/2008,2008.0,Unprovoked,North Island,Maraetai,Fishing,M,0,Lacerations to left calf and ankle,N,,Bronze whaler shark?,12
1187,MOZAMBIQUE,12/8/2022,2008.0,Unprovoked,Inhambane Province,Chidenguele,Spearfishing,M,0,FATAL,Y,,Zambesi shark?,12
1188,EGYPT,11/28/2008,2008.0,Unprovoked,Red Sea,Elphinstone Reef,Scuba diving,F,0,Lacerations to fingers,N,Morning,Oceanic whitetip shark,11
1190,ECUADOR,11/24/2008,2008.0,Unprovoked,Galapagos Islands,Santa Cruz,other,F,0,Leg bitten,N,,,11
1193,PHILIPPINES,11/6/2008,2008.0,Unprovoked,Luzon,"off Paoay, Ilocos Norte Province",Fishing,M,39,Torso & righ arm bitten FATAL,Y,10h00 -- 11h00,,11
1195,NEW CALEDONIA,10/21/2008,2008.0,Unprovoked,other,other,Spearfishing,M,24,Legs bitten,N,11h00,Lemon shark,10
1197,AUSTRALIA,10/11/2008,2008.0,Unprovoked,New South Wales,Lake Macquarie,Surfing,M,15,"No injury, board damaged",N,15h30,,10
1198,USA,10/8/2008,2008.0,Unprovoked,Florida,"Santa Rosa Beach, Walton County",Fishing,M,11,Lacerations,N,12h00,,10
1199,CROATIA,10/6/2008,2008.0,Unprovoked," Split-Dalmatia Count,","Smokvina Bay, Vis Island",Spearfishing,M,43,Calf bitten,N,12h00,5 m white shark,10
1200,USA,9/28/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,44,Small puncture wounds to the heel of left foot,N,11h45,,09
1201,USA,9/28/2008,2008.0,Unprovoked,Florida,Bethune Beach,Surfing,M,40,Right foot bitten,N,11h00,+3' shark,09
1203,USA,9/14/2008,2008.0,Unprovoked,Florida,"Ormond-by-the-Sea, Volusia County",Swimming,M,32,Lacerations to foot,N,12h00,2' to 3' juvenile shark,09
1204,USA,9/9/2008,2008.0,Unprovoked,Hawaii,"Ka'a'awa, Oahu",Surfing,M,40,Bitten on right thigh & calf,N,16h30,Tiger shark,09
1205,USA,9/8/2008,2008.0,Unprovoked,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,0,"No injury to surfer, board bitten",N,10h30,"White shark, 14' to 16' ",09
1206,AUSTRALIA,9/7/2008,2008.0,Unprovoked,New South Wales,"Clarks Beach, Byron Bay",Surfing,M,51,Shark became tangled in his surfboard leash. The surfer was not injured,N,12h00,3 m shark,09
1207,USA,9/6/2008,2008.0,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,43,Minor injury to foot,N,12h00,,09
1208,USA,9/6/2008,2008.0,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,15,Minor injury to foot,N,12h00,,09
1209,USA,9/1/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,52,Shark bumped right ankle,N,10h00,4' shark,09
1210,USA,9/8/2022,2008.0,Unprovoked,Florida,Hutchinson Island,Surfing,M,0,Right hand bitten,N,Morning,,09
1211,AUSTRALIA,8/30/2008,2008.0,Unprovoked,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,29,"No injury, bumped off board by the shark",N,,,08
1214,USA,8/28/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Superfical cut to left ankle,N,12h00,,08
1215,USA,8/27/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,26,Lacerations to lower left leg,N,11h00,6' shark,08
1216,USA,8/24/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",M,20,Minor injury to left foot,N,15h00,,08
1218,USA,8/20/2008,2008.0,Unprovoked,Florida,"Sanibel Island, Lee County",Swimming,M,47,3 lacerations to forearm,N,14h45,,08
1220,USA,8/16/2008,2008.0,Unprovoked,US Virgin Islands,Buck Island,Treading water,F,38,Severe lacerations to left foot,N,Dusk,8' bull shark or Caribbean reef shark,08
1221,USA,8/12/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading,F,13,Puncture wounds & 3-inch laceration to right calf,N,12h05,,08
1222,USA,8/11/2008,2008.0,Unprovoked,Hawaii,"Ala Moana Beach Park, Oah'u",Diving,M,0,"No injury, shark grabbed his bag of fish",N,14h00,"Tiger shark, 12'",08
1223,AUSTRALIA,7/30/2008,2008.0,Unprovoked,Victoria,Levys Beach,Surfing,M,31,"No injury, surfboard leash severed",N,10h30,8' white shark or 7-gill shark,07
1224,SOUTH AFRICA,Reported 30-Jul-2008,2008.0,Unprovoked,other,other,other,M,0,Lacerations to fingers,N,,White shark,07
1225,PANAMA,7/27/2008,2008.0,Unprovoked,San Carlos,Playa Teta,Swimming or surfing,M,0,5 lacerations to left foot,N,18h00,3'  shark,07
1226,MEXICO,7/26/2008,2008.0,Unprovoked,Cabo San Lucas,other,Swimming,M,33,3 puncture wounds to toe,N,,2'  shark,07
1227,USA,7/26/2008,2008.0,Unprovoked,Hawaii,"Honokowai, Maui",Swimming,M,0,Minor injury,N,15h30,2' to 3' reef shark,07
1228,USA,7/25/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Right foot bitten,N,09h00,,07
1229,USA,7/25/2008,2008.0,Unprovoked,Hawaii,"Lahilahi Point, Oahu",Snorkeling,F,44,Forearm bitten ,N,08h45,,07
1230,USA,7/24/2008,2008.0,Unprovoked,North Carolina,"Surf City, Topsail Island, Pender County",Wading,M,9,Minor lacerations to  toe,N,,3' shark,07
1231,USA,7/24/2008,2008.0,Unprovoked,North Carolina,"Topsail Island, Pender County",Wading,F,8,Lacerations to dorsum of right foot ,N,13h00,3' to 4' shark,07
1233,USA,7/19/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading,M,16,Lacerations to lower left leg,N,13h55,4' shark,07
1234,EGYPT,7/18/2008,2008.0,Unprovoked,other,Daedalus Reef,Diving,M,0,Leg severed,N,,Oceanic whitetip shark,07
1236,USA,7/11/2008,2008.0,Unprovoked,South Carolina,"Isle of Palms, Charleston County",Surfing,M,24,Laceration to foream,N,14h00,,07
1237,USA,7/9/2008,2008.0,Unprovoked,North Carolina,"Emerald Isle, Carteret County",Swimming,F,14,Lacerations to  right foot,N,19h30,,07
1238,USA,7/5/2008,2008.0,Unprovoked,South Carolina,"Litchfield Beach, Georgetown County",other,F,17,Lacerations to right foot,N,14h21,,07
1241,BAHAMAS,6/28/2008,2008.0,Unprovoked,Abaco Islands,other,Spearfishing,M,42,Lacerations to calf,N,11h00,"Bull shark, 6' to 7'",06
1242,SOUTH AFRICA,6/28/2008,2008.0,Unprovoked,Western Cape Province,Mossel Bay,Surf skiing ,M,46,"No injury, ski bitten",N,14h00,"White shark, 2m",06
1243,SOUTH AFRICA,Reported 26-Jun-2008,2008.0,Unprovoked,Western Cape Province,Struis Bay,Spearfishing (free diving),M,0,No injury,N,,"White shark, 4.5m",06
1244,USA,6/26/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,Minor laceration to foot,N,Afternoon,,06
1245,USA,6/26/2008,2008.0,Unprovoked,South Carolina,"Isle of Palms, Charleston County",Swimming,M,37,Lacerations to hand,N,11h15,4.5 to 5' shark,06
1246,BRAZIL,6/24/2008,2008.0,Unprovoked,Bahia,Guarajuba,Surfing,M,0,"No injury, board bitten",N,Morning,,06
1248,USA,6/20/2008,2008.0,Unprovoked,Florida,"Fernandina Beach, Nassau County",Wading,F,35,Lacerations to lower right calf,N,11h10,,06
1249,BRAZIL,6/11/2008,2008.0,Unprovoked,Pernambuco,"Punta Del Chifre, Olinda",Surfing,M,14,Laceration to left leg & foot,N,,,06
1250,USA,6/7/2008,2008.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Body surfing,M,40,Lacerations & abrasions to right hand,N,,,06
1252,USA,6/1/2008,2008.0,Unprovoked,South Carolina,Cherry Grove,Body surfing,F,15,Foot bitten,N,18h30,5' shark,06
1253,BRAZIL,6/1/2008,2008.0,Unprovoked,Pernambuco,"Piedade, Recife",Swimming,M,14,"Hand severed, buttocks bitten",N,15h00,Bull shark,06
1254,USA,5/26/2008,2008.0,Unprovoked,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,M,9,Biceps & lower arm bitten,N,15h50,,05
1256,MEXICO,5/24/2008,2008.0,Unprovoked,Guerro,Playa Linda,Surfing,M,49,Lacerations to right forearm and hand,N,Early morning,3 m shark,05
1257,MEXICO,5/23/2008,2008.0,Unprovoked,Guerro,Pantla Beach,Surfing,M,21,FATAL,Y,,2 m shark,05
1258,FIJI,5/14/2008,2008.0,Unprovoked,Yasawa Islands,Turtle Island,Night diving,M,28,FATAL,Y,Night,,05
1259,AUSTRALIA,5/10/2008,2008.0,Unprovoked,Western Australia,Albany,Swimming,M,37,Severe lacerations to left leg,N,07h30,"White shark, 4m",05
1260,NEW CALEDONIA,5/7/2008,2008.0,Unprovoked,North Province,Hienghène,Fishing,M,40,Lower legs bitten,N,14h00,2 small bull sharks,05
1261,USA,5/7/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading,M,6,2 inch laceration to left lower calf.,N,Just before noon,,05
1263,MEXICO,4/28/2008,2008.0,Unprovoked,Guerro,Troncones Beach,Surfing,M,24,FATAL    Severe bite to right thigh,Y,Afternoon,Tiger shark,04
1264,USA,4/28/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,3-inch laceration to dorsal surface of left foot,N,11h45,4' shark,04
1265,USA,4/27/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Calf bitten,N,10h30,,04
1266,NEW CALEDONIA,4/26/2008,2008.0,Unprovoked,North Province,Poindimié,Swimming,M,32,Lacerations to left foot,N,Morning,"Bull shark, 1.8m",04
1268,USA,4/25/2008,2008.0,Unprovoked,California,"Solana Beach, San Diego County",Swimming,M,66,FATAL,Y,07h00,"White shark, 12' to 15'",04
1269,USA,4/20/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Cuts & punctures to right foot,N,08h45,,04
1270,AUSTRALIA,4/20/2008,2008.0,Unprovoked,New South Wales,Crescent Head,other,M,0,other,UNKNOWN,,"Tiger shark, 2.3m ",04
1274,USA,4/15/2008,2008.0,Unprovoked,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,30,Puncture wounds to right foot,N,15h00,1.5' to 2' shark,04
1275,FIJI,Reported 09-Apr-2008,2008.0,Unprovoked,other,other,Spearfishing,M,0,Left forearm bitten ,N,,,04
1276,USA,3/25/2008,2008.0,Unprovoked,Florida,"Palm Beach Shores, Palm Beach County",Wading,M,15,Shin bitten,N,,6' shark,03
1277,USA,Reported 08-Apr-2008,2008.0,Unprovoked,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,UNKNOWN,0,Foot bitten,N,,,04
1278,AUSTRALIA,4/8/2008,2008.0,Unprovoked,New South Wales,"Lighthouse Beach, Ballina",Body boarding,M,16,FATAL,Y,08h05,Bull shark,04
1279,USA,4/3/2008,2008.0,Unprovoked,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,18,Right foot & ankle bitten,N,12h00,,04
1280,SOUTH AFRICA,3/28/2008,2008.0,Unprovoked,KwaZulu-Natal,Scottburgh,Fishing from surfski,M,39,Right leg bitten,N,,,03
1281,USA,3/28/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,M,52,Foot bitten,N,18h50,4' to 5' shark,03
1282,USA,3/28/2008,2008.0,Unprovoked,Florida,"Near Cocoa Beach, Brevard  County",Boogie Boarding,M,0,Right foot bitten,N,,a small shark,03
1283,USA,3/23/2008,2008.0,Unprovoked,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,13,Three small lacerations/ punctures to right foot,N,11h30,2.5' shark,03
1284,USA,3/21/2008,2008.0,Unprovoked,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,M,14,Two 3-inch lacerations to right ankle,N,15h53,,03
1285,USA,3/15/2008,2008.0,Unprovoked,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,M,8,Minor injury,N,Afternoon,Shark involvement not confirmed,03
1286,USA,3/7/2008,2008.0,Unprovoked,California," Huntington Beach, Orange County",Surfing,M,27,"No injury to surfer, surfboard bitten by the shark",N,08h00,White shark,03
1287,BAHAMAS,2/24/2008,2008.0,Unprovoked,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,M,49,"Leg bitten, FATAL",Y,10h00,"A bull shark, according to some of the divers on the boat",02
1288,FRENCH POLYNESIA,Reported 21-Feb-2008,2008.0,Unprovoked,Society Islands,Tahiti,Spearfishing,M,26,Lacerations to face,N,,,02
1289,USA,2/15/2008,2008.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,M,25,Lacerations to foot,N,17h00,,02
1290,AUSTRALIA,2/7/2008,2008.0,Unprovoked,New South Wales,Horseshoe Bay,Surfing,F,14,Abrasions to elbow; collided with shark,N,,1 m shark,02
1291,USA,2/6/2008,2008.0,Unprovoked,Florida,"Opposite Patrick Air Force Base, Brevard County",Surf-skiing,M,0,Lacerations to foot,N,,3' shark,02
1293,SOUTH AFRICA,1/29/2008,2008.0,Unprovoked,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Surf-skiing,M,42,"No injury to surf-skiier, shark holed ski",N,,"Blacktip shark, 2m",01
1297,USA,1/10/2008,2008.0,Unprovoked,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,20,Left foot bitten,N,,a small shark,01
1299,MEXICO,Summer-2008,2008.0,Unprovoked,Baja California,Playas de Tijuana,Surfing,M,26,Leg bitten,N,,Possibly a hammerhead shark,00
1300,ECUADOR,12/21/2007,2007.0,Unprovoked,Galapagos Islands,San Cristobal Island,Surfing,M,24,Lacerations & puncture wounds  to left thigh,N,,3 m shark,12
1302,AUSTRALIA,12/18/2007,2007.0,Unprovoked,New South Wales,Jimmy's Beach,Surfing,M,31,Severe lacerations to right buttock,N,11h00,2 m shark,12
1303,AUSTRALIA,12/15/2007,2007.0,Unprovoked,Queensland,South Stradbroke Island,Swimming,M,teen,Lacerations to hand,N,,"""a small shark""",12
1305,USA,12/10/2007,2007.0,Unprovoked,Hawaii,"Waialua Bay, O'ahu",Surfing,M,52,"No injury, shark bit surfboard ",N,"""Just before 11h00""",Tiger shark,12
1306,NEW ZEALAND,12/9/2007,2007.0,Unprovoked,South Island,Kaikoura,Surfing,F,0,"No injury, shark bit surfboard & severed leash",N,,,12
1307,BRAZIL,12/7/2007,2007.0,Unprovoked,Pernambuco,Itamaracá,Removing fish from a trap,M,28,20 cm injury to left foot,N,,2.27 m shark,12
1309,AUSTRALIA,11/8/2007,2007.0,Unprovoked,New South Wales,"Wategos Beach, Byon Bay",Surfing,M,0,"No injury, teethmarks in board & torn wetsuit",N,14h20,,11
1310,SOUTH AFRICA,11/7/2007,2007.0,Unprovoked,Western Cape Province,The Strand,Surfing,M,14,Lacerations to feet,N,17h30,1.5 to 2 m shark,11
1311,USA,11/6/2007,2007.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Cut to right knee,N,11h115,4' to 5' shark,11
1312,USA,11/4/2007,2007.0,Unprovoked,Florida,"Round Island Park, Indian River County",Surfing,M,42,Lacerations to right leg,N,09h00,5' shark,11
1313,SOUTH AFRICA,11/3/2007,2007.0,Unprovoked,Eastern Cape Province,Bonza Bay,Surfing,M,37,Lacerations to thigh,N,08h45,"White shark, 3m to 4m",11
1315,USA,10/29/2007,2007.0,Unprovoked,Hawaii,"Wailea, Maui",Floating,M,32,Lacerations to left lower leg,N,15h30,Tiger shark,10
1316,AUSTRALIA,10/15/2007,2007.0,Unprovoked,New South Wales,Byron Bay,Surf-skiing,F,52,small laceration to wrist,N,11h30,"White shark, 2.5m ",10
1317,AUSTRALIA,10/13/2007,2007.0,Unprovoked,Queensland,Holmes Reef,Spearfishing,M,31,Laceration to calf,N,12h00,Bronze whaler shark,10
1318,USA,10/7/2007,2007.0,Unprovoked,California,"Venice Pier, Venice, Los Angeles County",Surfing,M,22,4 scratches on left hand,N,20h30,3' to 4' shark,10
1319,USA,10/6/2007,2007.0,Unprovoked,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,16,Severe lacerations to right hand,N,08h10,"Blacktip shark, 5'",10
1320,USA,9/30/2007,2007.0,Unprovoked,California,"Santa Monica, Los Angeles County",Surfing,M,0,Puncture wound to foot,N,11h30,,09
1322,NEW CALEDONIA,9/30/2007,2007.0,Unprovoked,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,F,23,FATAL,Y,Early morning,Tiger shark,09
1323,BAHAMAS,9/28/2007,2007.0,Unprovoked,Grand Bahama Island,Sweetings Cay,Spearfishing,F,48,Thigh bitten,N,12h00,Caribbean reef shark,09
1324,USA,9/27/2007,2007.0,Unprovoked,California,"Moonstone Beach, Humboldt County",Surfing,F,0,"No injury to surfer, surfboard bitten",N,08h15,White shark,09
1325,EGYPT,9/27/2007,2007.0,Unprovoked,Red Sea,Daedalus Reef ,Swimming,F,18 or 20,"Severe lacerations to lower left leg, ankle and foot",N,07h00,Oceanic whitetip sharks were in the vicinity,09
1327,USA,9/22/2007,2007.0,Unprovoked,Florida,Huguenot Park,Surfing,F,0,Laceration to foot,N,,4' shark,09
1328,USA,9/20/2007,2007.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Small lacerations to bottom of right big toe,N,18h20,3' shark,09
1329,SOLOMON ISLANDS,9/17/2007,2007.0,Unprovoked,Marovo Lagoon,Kicha Island,Spearfishing,M,0,Left thigh bitten,N,Dusk,Gray reef shark,09
1330,USA,9/16/2007,2007.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading?,M,56,Laceration to right heel,N,11h15,,09
1331,USA,9/16/2007,2007.0,Unprovoked,Florida,"Flagler Beach, Flagler County",Surfing,F,Teen,"No injury, surfboard bitten",N,Early morning,9.5' shark?,09
1332,USA,9/13/2007,2007.0,Unprovoked,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,M,14,"Minor injury, shark latched onto his abdomen",N,16h00,"Nurse shark, 2' to 3' ",09
1333,USA,9/8/2007,2007.0,Unprovoked,Florida,"Pepper Park Beach, St. Lucie County",Wading,F,58,Puncture wounds & 2-inch laceration to calf,N,11h45,,09
1334,USA,9/5/2007,2007.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Wading,F,36,Laceration to right big toe,N,13h42,,09
1335,USA,9/4/2007,2007.0,Unprovoked,South Carolina,Sullivan's Island,Standing,M,15,Lacerations to left calf and both feet ,N,18h30,,09
1336,USA,9/3/2007,2007.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Jumping,F,12,Tiny punctures to arm,N,Morning,"18"" to 24"" shark",09
1337,USA,9/3/2007,2007.0,Unprovoked,Florida,"Fort Lauderdale, Broward County",Swimming,M,58,"3"" laceration to left forearm",N,09h45,Possibly a spinner shark,09
1338,USA,8/28/2007,2007.0,Unprovoked,Hawaii,"Ka'a'awa, Oahu",Body boarding,M,15,Laceration to right heel,N,16h30,"Tiger shark, 10' to 12' ",08
1339,USA,8/28/2007,2007.0,Unprovoked,California,"Marina State Beach, Monterey County",Surfing,M,24,Lacerations to thigh & torso,N,10h45,"White shark, 12'",08
1340,USA,8/26/2007,2007.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,54,Left hand  bitten,N,14h00,3' shark,08
1341,USA,8/25/2007,2007.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27, 6 lacerations to left hand,N,Morning,3' shark,08
1344,USA,8/19/2007,2007.0,Unprovoked,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,M,52,Torso bitten,N,20h15,,08
1345,USA,8/19/2007,2007.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Foot bitten,N,12h39,4' to 5' shark,08
1346,USA,8/19/2007,2007.0,Unprovoked,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Playing,M,7,Right calf bitten,N,10h00,,08
1347,USA,8/15/2007,2007.0,Unprovoked,Florida,Sarasota Bay,Floating near boat & observing bioluminesce,M,20,Puncture wounds to torso,N,Night,Possibly a 6' bull shark,08
1348,USA,8/12/2007,2007.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Swimming,F,15,"Minor injury, small lacerations to right foot",N,17h35, ,08
1349,USA,8/11/2007,2007.0,Unprovoked,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,19,"Minor injury, lacerations to left ankle & foot ",N,18h00,,08
