country,year,area,activity,sex,age,fatal_y_n,month,hemisph,Season
USA,2015.0,Florida,Photographing the shark,M,48,N,4,North,spring
USA,2015.0,Florida,Spearfishing,M,70,N,4,North,spring
USA,2015.0,Hawaii,Standing / Snorkeling,M,58,N,3,North,spring
USA,2015.0,Florida,other,M,12,N,1,North,winter
USA,2014.0,California,Surfing,M,50,N,12,North,winter
USA,2014.0,Florida,Surfing,M,44,N,11,North,winter
USA,2014.0,Hawaii,Snorkeling,M,53,N,11,North,winter
USA,2014.0,Florida,Surfing,M,18,N,11,North,winter
USA,2014.0,Hawaii,Surfing,F,34,N,10,North,fall
USA,2014.0,Hawaii,Stand-Up Paddleboarding,F,0,N,10,North,fall
USA,2014.0,Hawaii,Stand-Up Paddleboarding,M,0,N,10,North,fall
USA,2014.0,Hawaii,Surfing,M,0,N,10,North,fall
USA,2014.0,South Carolina,Standing in inner tube,F,7,N,10,North,fall
USA,2014.0,Florida,Body surfing or Boogie boarding,F,0,N,10,North,fall
USA,2014.0,Florida,Surfing,M,29,N,10,North,fall
USA,2014.0,Florida,Fishing,F,40,N,10,North,fall
USA,2014.0,Florida,Surfing,M,15,N,10,North,fall
USA,2014.0,California,Surfing,M,28,N,10,North,fall
USA,2014.0,Florida,Surfing,M,0,N,9,North,fall
USA,2014.0,Alabama,Fishing ,M,43,N,9,North,fall
USA,2014.0,Florida,Body surfing,F,13,N,8,North,summer
USA,2014.0,Florida,Surfing,M,17,N,8,North,summer
USA,2014.0,North Carolina,Surfing,M,29,N,8,North,summer
USA,2014.0,South Carolina,Standing,F,0,N,8,North,summer
USA,2014.0,North Carolina,Kite boarding,UNKNOWN,0,N,8,North,summer
USA,2014.0,Florida,Standing,M,0,N,8,North,summer
USA,2014.0,Florida,other,M,26,N,8,North,summer
USA,2014.0,Florida,Swimming,F,10,N,8,North,summer
USA,2014.0,Louisiana,Swimming,M,7,N,8,North,summer
USA,2014.0,South Carolina,Boogie boarding,M,10,N,8,North,summer
USA,2014.0,Florida,Swimming,F,45,N,8,North,summer
USA,2014.0,Florida,Surfing,M,50s,N,8,North,summer
USA,2014.0,Florida,Boogie boarding,M,8,N,8,North,summer
USA,2014.0,North Carolina,Swimming,M,Teen,N,7,North,summer
USA,2014.0,Florida,Standing,M,8,N,7,North,summer
USA,2014.0,Hawaii,Swimming,M,61,N,7,North,summer
USA,2014.0,Florida,Swimming,M,39,N,7,North,summer
USA,2014.0,North Carolina,Body surfing,M,0,N,7,North,summer
USA,2014.0,Florida,Surfing,M,14,N,7,North,summer
USA,2014.0,California,Surfing,M,0,N,7,North,summer
USA,2014.0,South Carolina,Body surfing,M,19,N,7,North,summer
USA,2014.0,Delaware,Standing,M,16,N,6,North,summer
USA,2014.0,Texas,Kneeling in the water,F,14,N,6,North,summer
USA,2014.0,Florida,Swimming,F,22,N,6,North,summer
USA,2014.0,Palmyra Atoll,Tagging sharks,F,37,N,6,North,summer
USA,2014.0,Florida,Body boarding,F,38,N,5,North,spring
USA,2014.0,Florida,Wading,F,44,N,5,North,spring
