Country,Year,Area,Activity,Sex,Age,Fatal_Y_N,month,hemisph,Season
AUSTRALIA,2016,Western Australia,Free diving,M,61,N,12,South,summer
FRENCH POLYNESIA,2016,Tuamotos,Fishing,M,40s,N,12,South,summer
AUSTRALIA,2016,New South Wales,Surfing,M,65,N,12,South,summer
USA,2016,Hawaii,Floating,F,58,N,11,North,winter
USA,2016,Florida,Surfing,M,41,N,10,North,fall
USA,2016,Florida,Surfing,M,42,N,10,North,fall
AUSTRALIA,2016,New South Wales,Surfing,M,36,N,10,South,spring
USA,2016,Hawaii,Surfing,M,36,N,10,North,fall
AUSTRALIA,2016,Queensland,Surfing,M,0,N,10,South,spring
USA,2016,Hawaii,Snorkeling,F,66,N,10,North,fall
AUSTRALIA,2016,New South Wales,Surfing,M,25,N,10,South,spring
USA,2016,Oregon,Surfing,M,29,N,10,North,fall
USA,2016,Florida,Surfing,M,21,N,10,North,fall
USA,2016,Florida,Surfng,M,32,N,10,North,fall
AUSTRALIA,2016,New South Wales,Surfing,M,17,N,9,South,spring
USA,2016,Florida,Surfing,M,16,N,9,North,fall
USA,2016,Florida,Surfing,M,36,N,9,North,fall
USA,2016,Florida,Surfing,M,43,N,9,North,fall
USA,2016,California,Surfing,M,43,N,9,North,fall
AUSTRALIA,2016,Victoria,Surfing,M,0,N,9,South,spring
AUSTRALIA,2016,Victoria,Surfing,M,0,N,9,South,spring
USA,2016,Florida,Wading,M,60s,N,9,North,fall
USA,2016,Hawaii,Swimming,F,51,N,9,North,fall
NEW CALEDONIA,2016,North Province,Kite surfing,M,50,Y,9,South,spring
USA,2016,South Carolina,Boogie boarding,F,12,N,9,North,fall
AUSTRALIA,2016,Western Australia,Surfing,M,0,N,9,South,spring
USA,2016,Florida,Body boarding,M,9,N,9,North,fall
USA,2016,California,Spearfishing,M,22,N,9,North,fall
USA,2016,Florida,Surfing,M,25,N,8,North,summer
USA,2016,Florida,Surfing,M,37,N,8,North,summer
REUNION,2016,other,Surfing,M,20,N,8,South,winter
USA,2016,Florida,Wading,M,49,N,8,North,summer
BAHAMAS,2016,New Providence Island,Snorkeling,M,15,N,8,North,summer
USA,2016,Hawaii,SUP Foil boarding,M,21,N,8,North,summer
USA,2016,Florida,Surfing,M,22,N,8,North,summer
SPAIN,2016,Alicante Province,Swimming,M,40,N,7,North,summer
AUSTRALIA,2016,New South Wales,Surfing,M,18,N,7,South,winter
AUSTRALIA,2016,Tasmania,Surfing,M,36,N,7,South,winter
BAHAMAS,2016,Abaco Islands,Spearfishing,M,0,N,7,North,summer
USA,2016,Florida,Surfing,F,9,N,7,North,summer
USA,2016,Florida,other,F,11,N,7,North,summer
USA,2016,California,Kite surfing,M,61,N,7,North,summer
USA,2016,South Carolina,Swimming,M,0,N,7,North,summer
BAHAMAS,2016,other,Scuba Diving,M,0,N,7,North,summer
SPAIN,2016,Canary Islands,Wading,F,10,N,7,North,summer
USA,2016,Florida,Swimming,F,42,N,7,North,summer
USA,2016,South Carolina,other,M,35,N,6,North,summer
USA,2016,North Carolina,Surfing,M,11,N,6,North,summer
COLUMBIA,2016,Isla Provedencia,Scuba Diving,M,59,N,6,North,summer
SOUTH AFRICA,2016,Western Cape Province,Spearfishing,M,43,N,6,South,winter
USA,2016,South Carolina,Floating,M,42,N,6,North,summer
USA,2016,Florida,Wading,M,0,N,6,North,summer
USA,2016,Hawaii,Surfing,M,0,N,6,North,summer
USA,2016,Texas,Floating in tube,F,6,N,6,North,summer
USA,2016,North Carolina,Standing,M,19,N,6,North,summer
USA,2016,Florida,Swimming,M,64,N,6,North,summer
AUSTRALIA,2016,Western Australia,Diving,F,60,Y,6,South,winter
EGYPT,2016,Suez,Swimming,M,23,N,6,North,summer
AUSTRALIA,2016,New South Wales,Spearfishing,M,0,N,6,South,winter
NEW CALEDONIA,2016,other,Kite surfing,M,0,N,6,South,winter
