Country,Date,Year,Type,Area,Location,Activity,Sex ,Age,Injury,Fatal_Y_N,Time,Species ,Month
REUNION, 27-Mar-2010,2010.0,Unprovoked,Saint-Benoit,Bittern,Surfing,M,34,"No injury, board bitten",N,11h00,1.5 m shark,03
NEW ZEALAND,190Feb-2010,2010.0,Unprovoked,South Island,Tahunanui Beach,Swimming,M,0,Bruised but otherwise unhurt,N,Night,Possibly a blue shark,02
SOUTH AFRICA,2/16/2010,2010.0,Unprovoked,Eastern Cape Province,Yellow Sands Point,Surfing,M,0,Lacerations to right leg,N,11h00,3 m shark,02
FIJI,2/15/2010,2010.0,Unprovoked,Off Vanua Levu,Nara Reef,Scuba diving,M,19,FATAL,Y,09h30,,02
AUSTRALIA,2/13/2010,2010.0,Unprovoked,Queensland,"Dent Island, Whitsundays",Snorkeling,F,60,Lacerations to legs & buttocks,N,13h30,2 m shark,02
AUSTRALIA,2/11/2010,2010.0,Unprovoked,New South Wales,"Mona Vale Beach, Sydney",Surfing,M,46,"Minor injury, lacerations to left lower leg",N,08h00,"Wobbegong shark, 1.6m",02
AUSTRALIA,2/6/2010,2010.0,Unprovoked,New South Wales,Turners' Beach,Body boarding,M,18,"No injury, shark & board collided",N,15h30,"White shark, 2.5m",02
USA,2/3/2010,2010.0,Unprovoked,Florida,"Stuart, Martin County",Kite Boarding,M,38,FATAL,Y,15h44,,02
BRAZIL,1/31/2010,2010.0,Unprovoked,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",Surfing,M,29,Foot bitten,N,,Thought to involve a juvenile hammerhead shark,01
AUSTRALIA,1/27/2010,2010.0,Unprovoked,Queensland,Archie's Beach,Surfing,M,0,"No injury, surfboard bitten",N,16h30,,01
UNITED ARAB EMIRATES (UAE),1/22/2010,2010.0,Unprovoked,Dubai,"Umm Suqeim Beach, Dubai",Surfing,M,54,Laceration to bottom of foot,N,Evening,,01
AUSTRALIA,1/22/2010,2010.0,Unprovoked,Victoria,Geelong,Surfing,M,0,Lacerations to right hand ,N,07h30,,01
SOUTH AFRICA,1/12/2010,2010.0,Unprovoked,Western Province,Fish Hoek,Standing,M,37,FATAL,Y,15h15,White shark,01
AUSTRALIA,1/9/2010,2010.0,Unprovoked,Torres Strait,Thursday Island,Snorkeling,F,9,2 sets of minor lacerations below her right knee,N,,"Whitetip reef shark, 1m",01
VIETNAM,1/9/2010,2010.0,Unprovoked,Binh Dinh Province,Quy Nhon ,other,F,0,Minor injuries,N,,,01
VIETNAM,1/9/2010,2010.0,Unprovoked,Binh Dinh Province,Quy Nhon ,other,M,0,Right wrist bitten,N,17h00,,01
VIETNAM,1/9/2010,2010.0,Unprovoked,Binh Dinh Province,Quy Nhon ,Bathing,M,0,Left arm bitten twice,N,06h45,,01
USA,1/6/2010,2010.0,Unprovoked,Florida,Elliot Key,Spearfishing,M,32,Lacerations to  arm,N,10h15,,01
SOUTH AFRICA,1/5/2010,2010.0,Unprovoked,Eastern Province,"Nahoon, East London",Surfing,M,0,"No injury, reportedly knocked of his board by a shark",N,,,01
SOUTH AFRICA,12/29/2009,2009.0,Unprovoked,Eastern Cape  Province,Port Alfred,Wading,M,20,Lacerations to  left foot,N,08h30,,12
MOZAMBIQUE,12/22/2009,2009.0,Unprovoked,Maputo Province,Ponta do Ouro,Swimming,M,27,Multiple lacerations to right torso & arm. Defense wounds on  hands,N,16h30,"Zambesi shark, 2m ",12
AUSTRALIA,12/20/2009,2009.0,Unprovoked,Queensland,Lamont Reef,Spearfishing,M,18,Lacerations to hand & forearm,N,07h30,"Bull shark, 3m",12
SOUTH AFRICA,12/18/2009,2009.0,Unprovoked,Eastern Cape Province,"Second Beach, Port St. Johns",Paddling on kneeboard,M,22,FATAL,Y,14h30,,12
NEW ZEALAND,12/16/2009,2009.0,Unprovoked,South Island,Clark Island,Swimming to shore from capsized kayak,M,24,FATAL,Y,,"White shark, 2.8 to 3 m ",12
AUSTRALIA,12/13/2009,2009.0,Unprovoked,New South Wales,Coffee Head,Surfing,M,39,Laceration to big toe,N,07h00,,12
USA,11/24/2009,2009.0,Unprovoked,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Wading,M,10,Left foot bitten,N,Morning,6' shark,11
USA,11/16/2009,2009.0,Unprovoked,California,"Loch Lomond, Marin County",Fishing,M,31,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,16h45,Thresher shark,11
USA,11/16/2009,2009.0,Unprovoked,Florida,"Jupiter, Palm Beach County",Surfing,M,22,Foot bitten,N,09h30,,11
USA,11/13/2009,2009.0,Unprovoked,Florida,"Jupiter, Palm Beach County",Surfing,F,27,Foot bitten,N,16h30,,11
USA,11/11/2009,2009.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Foot bitten,N,Afternoon,4' shark,11
AUSTRALIA,11/8/2009,2009.0,Unprovoked,South Australia,Second Valley,Kayaking,M,25,Ankle bitten,N,10h30,2 m shark,11
USA,11/5/2009,2009.0,Unprovoked,California,"Davenport, Santa Cruz County",Surfing,M,21,"No injury, board broken in half",N,Dusk,,11
MOZAMBIQUE,Reported 29-Oct-2009,2009.0,Unprovoked,Inhambane Province,Off Vilanculo,Spearfishing,M,0,Left ankle & foot bitten,N,,Zambesi shark,10
AUSTRALIA,10/28/2009,2009.0,Unprovoked,New South Wales,Lennox Heads,Paddle-boarding,F,17,"No injury, shark bit rear of paddleboard",N,07h00,,10
USA,10/24/2009,2009.0,Unprovoked,California,"San Onofre, San Diego County ",Surfing,M,0,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",N,17h30,,10
USA,10/19/2009,2009.0,Unprovoked,Hawaii,"Kalama Park, Maui",Surfing,M,54,Bitten on upper right thigh & right ankle,N,06h00,6' to 8' shark,10
PANAMA,10/18/2009,2009.0,Unprovoked,Bocas,Playa La Cabaña ,Wading,F,10,Arm & torso bitten,N,18h30,,10
AUSTRALIA,Reported 14-Oct-2009,2009.0,Unprovoked,Western Australia,other,Diving,M,23,Severe lacerations to lower right leg,N,,"Bull shark, 10'",10
USA,10/9/2009,2009.0,Unprovoked,California,"San Onofre State Beach, San Diego County",Surfing,M,0,Laceration to shin of left leg,N,11h00,,10
USA,9/26/2009,2009.0,Unprovoked,Florida,"Key Colony Beach, Monroe County",Swimming,M,0,Laceration to right foot,N,17h30,"Bull shark, 8'",09
VIETNAM,9/18/2009,2009.0,Unprovoked,other,other,other,M,0,Lower right leg bitten,N,,,09
BRAZIL,9/7/2009,2009.0,Unprovoked,Pernambuco,"Piedade, Recife","Swimming, attempting to rescue a girl  believed to be drowning",M,15,FATAL,Y,Afternoon,,09
USA,8/30/2009,2009.0,Unprovoked,California,"Huntington Beach, Orange County",Surfing,M,0,No injury,N,18h30,4' shark,08
SOUTH AFRICA,8/29/2009,2009.0,Unprovoked,Western Cape Province,Glentana,Surfing,M,25,FATAL,Y,15h30,White shark,08
USA,8/25/2009,2009.0,Unprovoked,California,"Terramar Beach, Carlsbad, San Diego County",Swimming,F,22,Puncture wounds to left foot & calf,N,16h30,"White shark, 5' to 6' juvenile ",08
SOUTH AFRICA,8/11/2009,2009.0,Unprovoked,KwaZulu-Natal,Alkantstrand ,Body boarding,M,0,"No injury, shark bit bodyboard",N,Lunchtime,"White shark, 2m",08
USA,8/10/2009,2009.0,Unprovoked,Florida,"Ponce, Volusia County",Swimming,M,26,Puncture marks on left foot,N,19h00,,08
USA,8/6/2009,2009.0,Unprovoked,Hawaii,Kawa'a ,Surfing,M,0,"No injury, surfboard bitten",N,08h45,"Tiger shark, 12",08
USA,8/1/2009,2009.0,Unprovoked,Louisiana,"Curlew Island, Breton Sound",Wade Fishing,M,56,Right ankle & foot bitten,N,10h00,Bull shark?,08
BAHAMAS,7/31/2009,2009.0,Unprovoked,Abaco Islands,Spanish Cay,Spearfishing,M,14,Lacerations to calf,N,,Bull shark,07
AUSTRALIA,7/30/2009,2009.0,Unprovoked,New South Wales,Broken Head,Surfing,M,14,Left forearm grazed & puncture marks in wetsuit,N,06h15,,07
VIETNAM,7/29/2009,2009.0,Unprovoked,Binh Dinh Province,Quy Nhon ,Swimming,F,41,Foot bitten,N,17h30,,07
KENYA,Reported 24-Jul-2009,2009.0,Unprovoked,Mombasa,Likoni Channel,Washing his feet,M,0,FATAL,Y,,,07
USA,7/24/2009,2009.0,Unprovoked,Texas,South Padre Island,Wading,F,14,Lacerations to anterior left lower leg,N,Afternoon,,07
USA,7/22/2009,2009.0,Unprovoked,North Carolina,Holden Beach. Brunswick County,Swimming,F,26,Laceration to left foot,N,15h00,,07
USA,7/22/2009,2009.0,Unprovoked,Florida,"Intracoastal Waterway,      St. Petersburg",Swimming,F,19,Laceration to lower right leg,N,15h00,,07
VIETNAM,7/18/2009,2009.0,Unprovoked,Binh Dinh Province,Quy Nhon ,Swimming,M,57,Severe bite to right leg,N,,,07
USA,7/11/2009,2009.0,Unprovoked,California,"San Onofre, San Diego County ",Paddle-surfing,M,0,"No injury, shark collided with surfer & board",N,08h30,5' shark,07
SOUTH AFRICA,7/7/2009,2009.0,Unprovoked,Western Cape Province,"Jogensfontein, Stilbaai",Surfing,M,37,Leg bitten,N,11h15,,07
USA,7/5/2009,2009.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Boogie Boarding,F,12,Right ankle bitten,N,16h00,,07
AUSTRALIA,6/27/2009,2009.0,Unprovoked,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,52,2-inch laceration to upper left arm,N,08h45,"Thought to involve a Bronze whale shark, 2m",06
EGYPT,6/2/2009,2009.0,Unprovoked,St. Johns Reef,Habili Gafar,Scuba diving,M,0,Lacerations to left hand,N,,Oceanic whitetip shark,06
EGYPT,6/2/2009,2009.0,Unprovoked,St. Johns Reef,Habili Gafar,Scuba diving,M,0,3 cm laceration to shoulder,N,,Oceanic whitetip shark,06
EGYPT,6/1/2009,2009.0,Unprovoked,St. Johns Reef,Habili Gafar,Snorkeling,F,50,FATAL,Y,Morning,"Oceanic whitetip shark, 2.5 to 3m",06
USA,5/17/2009,2009.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,31,Lacerations to left leg & foot,N,09h35,blacktip or spinner shark,05
USA,5/16/2009,2009.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,49,Lacerations to right foot,N,10h27,blacktip or spinner shark,05
USA,5/16/2009,2009.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,55,Lacerations to right hand,N,10h16,blacktip or spinner shark,05
USA,4/28/2009,2009.0,Unprovoked,Florida,"St. Augustine, St. John's County",other,F,0,Multiple lacerations to right foot & ankle,N,16h45,,04
USA,Reported 25-Apr-2009,2009.0,Unprovoked,California,"San Onofre State Beach, San Diego County",Surfing,M,0,No injury,N,10h00,,04
USA,4/21/2009,2009.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,3 puncture wounds to posterior right ankle,N,Late afternoon,,04
PHILIPPINES,4/20/2009,2009.0,Unprovoked,Batangas province,Mabini,Swimming,M,23,Legs bitten,N,500,,04
USA,4/19/2009,2009.0,Unprovoked,Florida,"Carlin Park, Jupiter Inlet",Surfing,M,52,Left foot bitten,N,16h00,,04
USA,4/17/2009,2009.0,Unprovoked,Florida,"Walton Rocks, St Lucie County",Surfing,M,31,Laceration to forearm,N,13h15,2' to 3' shark,04
AUSTRALIA,4/12/2009,2009.0,Unprovoked,New South Wales,Fingal Bay,Surf skiing ,M,40,"No injury, catapulted into the water & ski damage",N,08h00,2' to 3' shark,04
USA,4/6/2009,2009.0,Unprovoked,California,San Diego County,Spearfishing,M,0,Shark struck him but the diver was not injured,N,07h45,"White shark, 12' to 15' female",04
USA,4/3/2009,2009.0,Unprovoked,Florida,"Sanibel Island, Lee County",Wading,M,15,Lacerations to right foot and ankle,N,16h00,,04
SOUTH AFRICA,3/21/2009,2009.0,Unprovoked,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,16,FATAL,Y,Afternoon,,03
AUSTRALIA,3/20/2009,2009.0,Unprovoked,New South Wales,Blue Bay,Surfing,M,17,"Laceration to right foot, puncture wounds to calf",N,18h45,Bronze whaler shark?,03
AUSTRALIA,3/19/2009,2009.0,Unprovoked,New South Wales,South Broulee,Surfing,M,0,"No injury, shark damaged surfboard",N,Early morning,,03
AUSTRALIA,3/19/2009,2009.0,Unprovoked,New South Wales,Bateman's Bay,Surfing,F,0,"No injury, shark bit nose of surfboard",N,07h45,,03
USA,3/18/2009,2009.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,F,17,Minor bite to ankle,N,17h30,3' to 4' shark,03
MALAYSIA,Reported 17-Mar-2009,2009.0,Unprovoked,Strait of Malacca,Pulau Payar Island,Feeding fish,F,0,Minor injury,N,,Blacktip reef shark pup,03
USA,3/17/2009,2009.0,Unprovoked,Hawaii,Alenuihaha Channel,Swimming,M,61,"Minor injury, bite chest and left calf",N,20h00,Thought to involve a cookie cutter shark,03
NEW CALEDONIA,3/6/2009,2009.0,Unprovoked,South Province,Bourail,Surfing,M,19,FATAL,Y,11h30,,03
AUSTRALIA,3/1/2009,2009.0,Unprovoked,New South Wales,Avalon,Surfing,M,15,Lacerations to leg,N,06h45,2.6 m shark,03
AUSTRALIA,2/22/2009,2009.0,Unprovoked,Queensland,Batt Reef,Fishing,M,0,Severe laceration to finger,N,10h15,,02
AUSTRALIA,2/18/2009,2009.0,Unprovoked,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,0,"No injury to surfer, but the nose of his board was broken",N,17h00,,02
AUSTRALIA,2/12/2009,2009.0,Unprovoked,New South Wales,"Bondi Beach, Sydney",Surfing,M,33,Severe injury to hand ,N,19h30,"White shark, 2.5m ",02
AUSTRALIA,2/11/2009,2009.0,Unprovoked,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour","Diving, but on the surface when bitten by the shark",M,31,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,N,Before 07h00,"Bull shark, 2.7 m ",02
AUSTRALIA,2/7/2009,2009.0,Unprovoked,New South Wales,Cellito Beach,Surfing,M,41,"No injury, surfboard dented",N,11h00,"White shark, 12' ",02
AUSTRALIA,2/7/2009,2009.0,Unprovoked,New South Wales,Sandon,Surfing,M,0,"No injury, flung from surfboard by the shark",N,07h30,,02
CUBA,1/25/2009,2009.0,Unprovoked,Guantanamo Province,Guantanamo Bay,Spearfishing,M,15,Severe lacerations to lower left leg,N,10h30,Bull shark,01
AUSTRALIA,1/24/2009,2009.0,Unprovoked,New South Wales,"Surf Beach, Batemans Bay",Swimming,M,19,Hand injured,N,16h30,,01
SOUTH AFRICA,1/24/2009,2009.0,Unprovoked,Eastern Cape Province,"Second Beach, Port St. John's",Swimming,M,25,FATAL,Y,14h00,Tiger shark,01
NEW ZEALAND,1/16/2009,2009.0,Unprovoked,South Island,Karitane Beach,Surfing,M,0,"No injury, bumped off board by the shark",N,,,01
SOUTH AFRICA,Reported 13-Jan-2009,2009.0,Unprovoked,Western Cape Province,"Shark Alley, off Gansbaai",other,UNKNOWN,0,FATAL,Y,,White sharks,01
AUSTRALIA,1/12/2009,2009.0,Unprovoked,New South Wales,"Windang,       Lake Illawara",Snorkeling,M,24,Puncture wounds to right calf,N,10h45,"Dusky shark, 2m",01
AUSTRALIA,1/11/2009,2009.0,Unprovoked,Tasmania,Binalong Bay,Surfing,F,13,Severe lacerations to right leg,N,15h45,"White shark, 5m",01
AUSTRALIA,1/11/2009,2009.0,Unprovoked,New South Wales,Fingal Beach,Surfing,M,31,Left thigh severely bitten,N,09h00,"White shark, 3.5m",01
ECUADOR,1/10/2009,2009.0,Unprovoked,Galapagos Islands,Isla Isabella,Surfing,M,22,Right lower leg bitten & defense wounds to hand,N,,,01
NEW ZEALAND,1/6/2009,2009.0,Unprovoked,North Island,Haumoana ,Swimming,M,49,Posterior thigh bitten,N,17h30,Broadnose sevengill shark,01
CUBA,1/9/2022,2009.0,Unprovoked,Guantanamo Province,Guantanamo,Spearfishing,UNKNOWN,0,Lacerations to right calf,N,,Bull shark,01
AUSTRALIA,12/27/2008,2008.0,Unprovoked,New South Wales,Seal Rocks,Boogie Boarding,M,10,"No injury, shark tore his swim fin",N,,,12
AUSTRALIA,12/27/2008,2008.0,Unprovoked,Western Australia,Port Kennedy Beach,Snorkeling,M,51,FATAL,Y,07h00,4 to 5m white shark,12
NEW ZEALAND,12/14/2008,2008.0,Unprovoked,North Island,Maraetai,Fishing,M,0,Lacerations to left calf and ankle,N,,Bronze whaler shark?,12
MOZAMBIQUE,12/8/2022,2008.0,Unprovoked,Inhambane Province,Chidenguele,Spearfishing,M,0,FATAL,Y,,Zambesi shark?,12
EGYPT,11/28/2008,2008.0,Unprovoked,Red Sea,Elphinstone Reef,Scuba diving,F,0,Lacerations to fingers,N,Morning,Oceanic whitetip shark,11
ECUADOR,11/24/2008,2008.0,Unprovoked,Galapagos Islands,Santa Cruz,other,F,0,Leg bitten,N,,,11
PHILIPPINES,11/6/2008,2008.0,Unprovoked,Luzon,"off Paoay, Ilocos Norte Province",Fishing,M,39,Torso & righ arm bitten FATAL,Y,10h00 -- 11h00,,11
NEW CALEDONIA,10/21/2008,2008.0,Unprovoked,other,other,Spearfishing,M,24,Legs bitten,N,11h00,Lemon shark,10
AUSTRALIA,10/11/2008,2008.0,Unprovoked,New South Wales,Lake Macquarie,Surfing,M,15,"No injury, board damaged",N,15h30,,10
USA,10/8/2008,2008.0,Unprovoked,Florida,"Santa Rosa Beach, Walton County",Fishing,M,11,Lacerations,N,12h00,,10
CROATIA,10/6/2008,2008.0,Unprovoked," Split-Dalmatia Count,","Smokvina Bay, Vis Island",Spearfishing,M,43,Calf bitten,N,12h00,5 m white shark,10
USA,9/28/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,44,Small puncture wounds to the heel of left foot,N,11h45,,09
USA,9/28/2008,2008.0,Unprovoked,Florida,Bethune Beach,Surfing,M,40,Right foot bitten,N,11h00,+3' shark,09
USA,9/14/2008,2008.0,Unprovoked,Florida,"Ormond-by-the-Sea, Volusia County",Swimming,M,32,Lacerations to foot,N,12h00,2' to 3' juvenile shark,09
USA,9/9/2008,2008.0,Unprovoked,Hawaii,"Ka'a'awa, Oahu",Surfing,M,40,Bitten on right thigh & calf,N,16h30,Tiger shark,09
USA,9/8/2008,2008.0,Unprovoked,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,0,"No injury to surfer, board bitten",N,10h30,"White shark, 14' to 16' ",09
AUSTRALIA,9/7/2008,2008.0,Unprovoked,New South Wales,"Clarks Beach, Byron Bay",Surfing,M,51,Shark became tangled in his surfboard leash. The surfer was not injured,N,12h00,3 m shark,09
USA,9/6/2008,2008.0,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,43,Minor injury to foot,N,12h00,,09
USA,9/6/2008,2008.0,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,15,Minor injury to foot,N,12h00,,09
USA,9/1/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,52,Shark bumped right ankle,N,10h00,4' shark,09
USA,9/8/2022,2008.0,Unprovoked,Florida,Hutchinson Island,Surfing,M,0,Right hand bitten,N,Morning,,09
AUSTRALIA,8/30/2008,2008.0,Unprovoked,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,29,"No injury, bumped off board by the shark",N,,,08
USA,8/28/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Superfical cut to left ankle,N,12h00,,08
USA,8/27/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,26,Lacerations to lower left leg,N,11h00,6' shark,08
USA,8/24/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",M,20,Minor injury to left foot,N,15h00,,08
USA,8/20/2008,2008.0,Unprovoked,Florida,"Sanibel Island, Lee County",Swimming,M,47,3 lacerations to forearm,N,14h45,,08
USA,8/16/2008,2008.0,Unprovoked,US Virgin Islands,Buck Island,Treading water,F,38,Severe lacerations to left foot,N,Dusk,8' bull shark or Caribbean reef shark,08
USA,8/12/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading,F,13,Puncture wounds & 3-inch laceration to right calf,N,12h05,,08
USA,8/11/2008,2008.0,Unprovoked,Hawaii,"Ala Moana Beach Park, Oah'u",Diving,M,0,"No injury, shark grabbed his bag of fish",N,14h00,"Tiger shark, 12'",08
AUSTRALIA,7/30/2008,2008.0,Unprovoked,Victoria,Levys Beach,Surfing,M,31,"No injury, surfboard leash severed",N,10h30,8' white shark or 7-gill shark,07
SOUTH AFRICA,Reported 30-Jul-2008,2008.0,Unprovoked,other,other,other,M,0,Lacerations to fingers,N,,White shark,07
PANAMA,7/27/2008,2008.0,Unprovoked,San Carlos,Playa Teta,Swimming or surfing,M,0,5 lacerations to left foot,N,18h00,3'  shark,07
MEXICO,7/26/2008,2008.0,Unprovoked,Cabo San Lucas,other,Swimming,M,33,3 puncture wounds to toe,N,,2'  shark,07
USA,7/26/2008,2008.0,Unprovoked,Hawaii,"Honokowai, Maui",Swimming,M,0,Minor injury,N,15h30,2' to 3' reef shark,07
USA,7/25/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Right foot bitten,N,09h00,,07
USA,7/25/2008,2008.0,Unprovoked,Hawaii,"Lahilahi Point, Oahu",Snorkeling,F,44,Forearm bitten ,N,08h45,,07
USA,7/24/2008,2008.0,Unprovoked,North Carolina,"Surf City, Topsail Island, Pender County",Wading,M,9,Minor lacerations to  toe,N,,3' shark,07
USA,7/24/2008,2008.0,Unprovoked,North Carolina,"Topsail Island, Pender County",Wading,F,8,Lacerations to dorsum of right foot ,N,13h00,3' to 4' shark,07
USA,7/19/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading,M,16,Lacerations to lower left leg,N,13h55,4' shark,07
EGYPT,7/18/2008,2008.0,Unprovoked,other,Daedalus Reef,Diving,M,0,Leg severed,N,,Oceanic whitetip shark,07
USA,7/11/2008,2008.0,Unprovoked,South Carolina,"Isle of Palms, Charleston County",Surfing,M,24,Laceration to foream,N,14h00,,07
USA,7/9/2008,2008.0,Unprovoked,North Carolina,"Emerald Isle, Carteret County",Swimming,F,14,Lacerations to  right foot,N,19h30,,07
USA,7/5/2008,2008.0,Unprovoked,South Carolina,"Litchfield Beach, Georgetown County",other,F,17,Lacerations to right foot,N,14h21,,07
BAHAMAS,6/28/2008,2008.0,Unprovoked,Abaco Islands,other,Spearfishing,M,42,Lacerations to calf,N,11h00,"Bull shark, 6' to 7'",06
SOUTH AFRICA,6/28/2008,2008.0,Unprovoked,Western Cape Province,Mossel Bay,Surf skiing ,M,46,"No injury, ski bitten",N,14h00,"White shark, 2m",06
SOUTH AFRICA,Reported 26-Jun-2008,2008.0,Unprovoked,Western Cape Province,Struis Bay,Spearfishing (free diving),M,0,No injury,N,,"White shark, 4.5m",06
USA,6/26/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,Minor laceration to foot,N,Afternoon,,06
USA,6/26/2008,2008.0,Unprovoked,South Carolina,"Isle of Palms, Charleston County",Swimming,M,37,Lacerations to hand,N,11h15,4.5 to 5' shark,06
BRAZIL,6/24/2008,2008.0,Unprovoked,Bahia,Guarajuba,Surfing,M,0,"No injury, board bitten",N,Morning,,06
USA,6/20/2008,2008.0,Unprovoked,Florida,"Fernandina Beach, Nassau County",Wading,F,35,Lacerations to lower right calf,N,11h10,,06
BRAZIL,6/11/2008,2008.0,Unprovoked,Pernambuco,"Punta Del Chifre, Olinda",Surfing,M,14,Laceration to left leg & foot,N,,,06
USA,6/7/2008,2008.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Body surfing,M,40,Lacerations & abrasions to right hand,N,,,06
USA,6/1/2008,2008.0,Unprovoked,South Carolina,Cherry Grove,Body surfing,F,15,Foot bitten,N,18h30,5' shark,06
BRAZIL,6/1/2008,2008.0,Unprovoked,Pernambuco,"Piedade, Recife",Swimming,M,14,"Hand severed, buttocks bitten",N,15h00,Bull shark,06
USA,5/26/2008,2008.0,Unprovoked,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,M,9,Biceps & lower arm bitten,N,15h50,,05
MEXICO,5/24/2008,2008.0,Unprovoked,Guerro,Playa Linda,Surfing,M,49,Lacerations to right forearm and hand,N,Early morning,3 m shark,05
MEXICO,5/23/2008,2008.0,Unprovoked,Guerro,Pantla Beach,Surfing,M,21,FATAL,Y,,2 m shark,05
FIJI,5/14/2008,2008.0,Unprovoked,Yasawa Islands,Turtle Island,Night diving,M,28,FATAL,Y,Night,,05
AUSTRALIA,5/10/2008,2008.0,Unprovoked,Western Australia,Albany,Swimming,M,37,Severe lacerations to left leg,N,07h30,"White shark, 4m",05
NEW CALEDONIA,5/7/2008,2008.0,Unprovoked,North Province,Hienghène,Fishing,M,40,Lower legs bitten,N,14h00,2 small bull sharks,05
USA,5/7/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading,M,6,2 inch laceration to left lower calf.,N,Just before noon,,05
MEXICO,4/28/2008,2008.0,Unprovoked,Guerro,Troncones Beach,Surfing,M,24,FATAL    Severe bite to right thigh,Y,Afternoon,Tiger shark,04
USA,4/28/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,3-inch laceration to dorsal surface of left foot,N,11h45,4' shark,04
USA,4/27/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Calf bitten,N,10h30,,04
NEW CALEDONIA,4/26/2008,2008.0,Unprovoked,North Province,Poindimié,Swimming,M,32,Lacerations to left foot,N,Morning,"Bull shark, 1.8m",04
USA,4/25/2008,2008.0,Unprovoked,California,"Solana Beach, San Diego County",Swimming,M,66,FATAL,Y,07h00,"White shark, 12' to 15'",04
USA,4/20/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Cuts & punctures to right foot,N,08h45,,04
AUSTRALIA,4/20/2008,2008.0,Unprovoked,New South Wales,Crescent Head,other,M,0,other,UNKNOWN,,"Tiger shark, 2.3m ",04
USA,4/15/2008,2008.0,Unprovoked,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,30,Puncture wounds to right foot,N,15h00,1.5' to 2' shark,04
FIJI,Reported 09-Apr-2008,2008.0,Unprovoked,other,other,Spearfishing,M,0,Left forearm bitten ,N,,,04
USA,3/25/2008,2008.0,Unprovoked,Florida,"Palm Beach Shores, Palm Beach County",Wading,M,15,Shin bitten,N,,6' shark,03
USA,Reported 08-Apr-2008,2008.0,Unprovoked,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,UNKNOWN,0,Foot bitten,N,,,04
AUSTRALIA,4/8/2008,2008.0,Unprovoked,New South Wales,"Lighthouse Beach, Ballina",Body boarding,M,16,FATAL,Y,08h05,Bull shark,04
USA,4/3/2008,2008.0,Unprovoked,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,18,Right foot & ankle bitten,N,12h00,,04
SOUTH AFRICA,3/28/2008,2008.0,Unprovoked,KwaZulu-Natal,Scottburgh,Fishing from surfski,M,39,Right leg bitten,N,,,03
USA,3/28/2008,2008.0,Unprovoked,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,M,52,Foot bitten,N,18h50,4' to 5' shark,03
